n_cores L1_BW_s L1_BW_d L2_BW_s L2_BW_d L3_BW_s L3_BW_d RAM_BW_s RAM_BW_d
1 361837.92 2875360.79 103807.30 820800.86 78927.14 625451.29 16729.37 122130.49
2 721740.09 5327497.88 201621.88 1591804.18 156126.85 1238244.75 31043.76 217783.01
3 1004070.82 8578643.80 302404.54 2355987.38 233060.10 1782847.84 35946.94 255129.20
4 1439539.54 10660171.32 423336.77 3047564.19 245668.36 1643701.30 36392.80 266356.51
5 1789732.51 14315829.28 500476.96 3707055.77 305993.52 1673662.18 36264.82 269382.02
6 2163440.89 16008510.68 631756.07 4347279.95 367992.16 1891919.08 36114.27 266191.08
7 2348555.48 18398825.98 692087.94 5095916.26 429678.39 2009190.16 35747.69 267949.44
8 2864251.43 20150224.69 805171.82 5367639.51 490916.52 2158981.90 35340.65 267211.63
9 3212441.78 22601670.55 879148.01 6136304.28 551622.66 3210178.55 37816.57 280464.84
10 3565496.06 25626140.93 1056556.88 6822357.97 611745.55 3622957.79 38809.29 289368.32
11 3667244.20 26782741.85 1100787.82 7257202.90 673326.87 3861010.60 39467.42 295257.09
12 4289719.60 28369029.30 1107938.43 7699590.63 589544.84 4136040.62 40511.76 306226.47
13 4665309.66 30519978.18 1283608.78 8189380.18 682897.90 3816769.10 41193.40 311385.07
14 5017421.46 31369318.24 1412983.75 8830221.44 771439.66 4020577.83 41850.94 317518.23
15 5364151.42 33068110.10 1577208.81 9108514.86 735097.10 4425496.10 42413.20 322608.18
16 5739694.10 33955679.57 1534153.91 9400569.94 809851.23 3878441.80 42544.54 326645.18
